,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"1832 West Collins Avenue,  Orange, CA  92867-5425    Tel:714-639-1000    Fax:714-639-1220",,,,,
http://www.ussensor.com,,,mailto:sales@ussensor.com,,
11,51.8,,1.897100,-4.77,"18,971.00"
12,53.6,,1.809000,-4.74,"18,090.00"
13,55.4,,1.725500,-4.71,"17,255.00"
14,57.2,,1.646300,-4.69,"16,463.00"
15,59.0,,1.571200,-4.66,"15,712.00"
16,60.8,,1.499900,-4.63,"14,999.00"
17,62.6,,1.432300,-4.60,"14,323.00"
18,64.4,,1.368100,-4.57,"13,681.00"
19,66.2,,1.307200,-4.54,"13,072.00"
20,68.0,,1.249300,-4.52,"12,493.00"
21,69.8,,1.194200,-4.50,"11,942.00"
22,71.6,,1.141900,-4.47,"11,419.00"
23,73.4,,1.092200,-4.44,"10,922.00"
24,75.2,,1.045000,-4.41,"10,450.00"
25,77.0,,1.000000,-4.39,"10,000.00"
26,78.8,,0.957200,-4.36,"9,572.00"
27,80.6,,0.916500,-4.34,"9,165.00"
28,82.4,,0.877700,-4.31,"8,777.00"
29,84.2,,0.840800,-4.28,"8,408.00"
30,86.0,,0.805700,-4.26,"8,057.00"
31,87.8,,0.772200,-4.24,"7,722.00"
32,89.6,,0.740200,-4.22,"7,402.00"
33,91.4,,0.709800,-4.18,"7,098.00"
34,93.2,,0.680800,-4.16,"6,808.00"
35,95.0,,0.653100,-4.14,"6,531.00"
36,96.8,,0.626700,-4.12,"6,267.00"
37,98.6,,0.601500,-4.09,"6,015.00"
38,100.4,,0.577500,-4.07,"5,775.00"
39,102.2,,0.554500,-4.05,"5,545.00"
40,104.0,,0.532600,-4.02,"5,326.00"
41,105.8,,0.511700,-4.00,"5,117.00"
42,107.6,,0.491700,-3.99,"4,917.00"
43,109.4,,0.472500,-3.96,"4,725.00"
44,111.2,,0.454300,-3.93,"4,543.00"
45,113.0,,0.436800,-3.91,"4,368.00"
46,114.8,,0.420100,-3.89,"4,201.00"
47,116.6,,0.404100,-3.87,"4,041.00"
48,118.4,,0.388800,-3.85,"3,888.00"
49,120.2,,0.374200,-3.82,"3,742.00"
50,122.0,,0.360200,-3.80,"3,602.00"
51,123.8,,0.346800,-3.78,"3,468.00"
52,125.6,,0.334000,-3.76,"3,340.00"
53,127.4,,0.321700,-3.75,"3,217.00"
54,129.2,,0.309900,-3.73,"3,099.00"
55,131.0,,0.298600,-3.70,"2,986.00"
56,132.8,,0.287800,-3.68,"2,878.00"
57,134.6,,0.277400,-3.66,"2,774.00"
58,136.4,,0.267500,-3.64,"2,675.00"
59,138.2,,0.257900,-3.63,"2,579.00"
60,140.0,,0.248800,-3.60,"2,488.00"
61,141.8,,0.240000,-3.58,"2,400.00"
62,143.6,,0.231600,-3.56,"2,316.00"
63,145.4,,0.223500,-3.56,"2,235.00"
64,147.2,,0.215700,-3.52,"2,157.00"
65,149.0,,0.208300,-3.50,"2,083.00"
66,150.8,,0.201100,-3.51,"2,011.00"
67,152.6,,0.194200,-3.48,"1,942.00"
68,154.4,,0.187600,-3.44,"1,876.00"
69,156.2,,0.181300,-3.42,"1,813.00"
70,158.0,,0.175200,-3.42,"1,752.00"
71,159.8,,0.169300,-3.40,"1,693.00"
72,161.6,,0.163700,-3.39,"1,637.00"
73,163.4,,0.158200,-3.38,"1,582.00"
74,165.2,,0.153000,-3.33,"1,530.00"
75,167.0,,0.148000,-3.31,"1,480.00"
76,168.8,,0.143200,-3.32,"1,432.00"
77,170.6,,0.138500,-3.32,"1,385.00"
78,172.4,,0.134000,-3.28,"1,340.00"
79,174.2,,0.129700,-3.28,"1,297.00"
80,176.0,,0.125500,-3.27,"1,255.00"
81,177.8,,0.121500,-3.21,"1,215.00"
82,179.6,,0.117700,-3.19,"1,177.00"
83,181.4,,0.114000,-3.20,"1,140.00"
84,183.2,,0.110400,-3.17,"1,104.00"
85,185.0,,0.107000,-3.13,"1,070.00"
86,186.8,,0.103700,-3.13,"1,037.00"
87,188.6,,0.100500,-3.14,"1,005.00"
88,190.4,,0.097380,-3.13,973.80
89,192.2,,0.094410,-3.09,944.10
90,194.0,,0.091550,-3.07,915.50
91,195.8,,0.088780,-3.06,887.80
92,197.6,,0.086120,-3.04,861.20
93,199.4,,0.083540,-3.03,835.40
94,201.2,,0.081060,-3.01,810.60
95,203.0,,0.078660,-2.99,786.60
96,204.8,,0.076350,-2.97,763.50
97,206.6,,0.074120,-2.96,741.20
98,208.4,,0.071960,-2.95,719.60
99,210.2,,0.069870,-2.93,698.70
100,212.0,,0.067860,-2.92,678.60
101,213.8,,0.065910,-2.91,659.10
102,215.6,,0.064030,-2.88,640.30
103,217.4,,0.062220,-2.87,622.20
104,219.2,,0.060460,-2.86,604.60
105,221.0,,0.058760,-2.84,587.60
106,222.8,,0.057120,-2.83,571.20
107,224.6,,0.055530,-2.82,555.30
108,226.4,,0.053990,-2.81,539.90
109,228.2,,0.052500,-2.79,525.00
110,230.0,,0.051060,-2.77,510.60
111,231.8,,0.049670,-2.76,496.70
112,233.6,,0.048320,-2.75,483.20
113,235.4,,0.047010,-2.73,470.10
114,237.2,,0.045750,-2.71,457.50
115,239.0,,0.044530,-2.71,445.30
116,240.8,,0.043340,-2.70,433.40
117,242.6,,0.042190,-2.68,421.90
118,244.4,,0.041080,-2.67,410.80
119,246.2,,0.040000,-2.65,400.00
120,248.0,,0.038960,-2.64,389.60
121,249.8,,0.037940,-2.64,379.40
122,251.6,,0.036960,-2.61,369.60
123,253.4,,0.036010,-2.60,360.10
124,255.2,,0.035090,-2.59,350.90
125,257.0,,0.034190,-2.59,341.90
